pub_date	title	venue	excerpt	citation	url_slug	paper_url
2019-02	The eMERGE genotype set of 83,717 subjects imputed to ~40&thinsp;million variants genome wide and association with the herpes zoster medical record phenotype	Genet Epidemiol	The Electronic Medical Records and Genomics (eMERGE) network is a network of medical centers with electronic medical records linked to existing biorepository samples for genomic discovery and genomic medicine research. The network sought to unify the genetic results from 78 Illumina and Affymetrix genotype array batches from 12 contributing medical centers for joint association analysis of 83,717 human participants. In this report, we describe the imputation of eMERGE results and methods to create the unified imputed merged set of genome-wide variant genotype data. We imputed the data using the Michigan Imputation Server, which provides a missing single-nucleotide variant genotype imputation service using the minimac3 imputation algorithm with the Haplotype Reference Consortium genotype reference set. We describe the quality control and filtering steps used in the generation of this data set and suggest generalizable quality thresholds for imputation and phenotype association studies. To test the merged imputed genotype set, we replicated a previously reported chromosome 6 HLA-B herpes zoster (shingles) association and discovered a novel zoster-associated loci in an epigenetic binding site near the terminus of chromosome 3 (3p29).	Stanaway IB, Hall TO, Rosenthal EA, Palmer M, Naranbhai V, Knevel R, Namjou-Khales B, Carroll RJ, Kiryluk K, Gordon AS, Linder J, Howell KM, Mapes BM, Lin FTJ, Joo YY, Hayes MG, Gharavi AG, Pendergrass SA, Ritchie MD, de Andrade M, Croteau-Chonka DC, Raychaudhuri S, Weiss ST, Lebo M, Amr SS, Carrell D, Larson EB, Chute CG, Rasmussen-Torvik LJ, Roy-Puckelwartz MJ, Sleiman P, Hakonarson H, Li R, Karlson EW, Peterson JF, Kullo IJ, Chisholm R, Denny JC, Jarvik GP; eMERGE Network; Crosslin DR. (2019) &quot;The eMERGE genotype set of 83,717 subjects imputed to ~40&thinsp;million variants genome wide and association with the herpes zoster medical record phenotype&quot; <i>Genet Epidemiol. 2019 Feb;43(1):63-81. doi: 10.1002/gepi.22167. Epub 2018 Oct 8.</i>	the-emerge-genotype-set-of-83-717-subjects-imputed-to-40-million-variants-genome-wide-and-association-with-the-herpes-zoster-medical-record-phenotype	https://doi.org/10.1002/gepi.22167
2019 Oct 9	Genetic associations with radiological damage in rheumatoid arthritis: Meta-analysis of seven genome-wide association studies of 2,775 cases	PLoS One	Previous studies of radiological damage in rheumatoid arthritis (RA) have used candidate-gene approaches, or evaluated single genome-wide association studies (GWAS). We undertook the first meta-analysis of GWAS of RA radiological damage to: (1) identify novel genetic loci for this trait; and (2) test previously validated variants.	Traylor M, Knevel R, Cui J, Taylor J, Harm-Jan W, Conaghan PG, Cope AP, Curtis C, Emery P, Newhouse S, Patel H, Steer S, Gregersen P, Shadick NA, Weinblatt ME, Van Der Helm-van Mil A, Barrett JH, Morgan AW, Lewis CM, Scott IC. (2019) &quot;Genetic associations with radiological damage in rheumatoid arthritis: Meta-analysis of seven genome-wide association studies of 2,775 cases&quot; <i>PLoS One. 2019 Oct 9;14(10):e0223246. doi: 10.1371/journal.pone.0223246. eCollection 2019.</i>	genetic-associations-with-radiological-damage-in-rheumatoid-arthritis-meta-analysis-of-seven-genome-wide-association-studies-of-2-775-cases	https://doi.org/10.1371/journal.pone.0223246
2020-03	Advances in genetics toward identifying pathogenic cell states of rheumatoid arthritis	Immunol Rev	Rheumatoid arthritis (RA) risk has a large genetic component (~60%) that is still not fully understood. This has hampered the design of effective treatments that could promise lifelong remission. RA is a polygenic disease with 106 known genome-wide significant associated loci and thousands of small effect causal variants. Our current understanding of RA risk has suggested cell-type-specific contexts for causal variants, implicating CD4&nbsp;+&nbsp;effector memory T cells, as well as monocytes, B cells and stromal fibroblasts. While these cellular states and categories are still mechanistically broad, future studies may identify causal cell subpopulations. These efforts are propelled by advances in single cell profiling. Identification of causal cell subpopulations may accelerate therapeutic intervention to achieve lifelong remission.	Amariuta T, Luo Y, Knevel R, Okada Y, Raychaudhuri S. (2020) &quot;Advances in genetics toward identifying pathogenic cell states of rheumatoid arthritis&quot; <i>Immunol Rev. 2020 Mar;294(1):188-204. doi: 10.1111/imr.12827. Epub 2019 Nov 28.</i>	advances-in-genetics-toward-identifying-pathogenic-cell-states-of-rheumatoid-arthritis	https://doi.org/10.1111/imr.12827
2020 May 15	Toward Earlier Diagnosis Using Combined eHealth Tools in Rheumatology: The Joint Pain Assessment Scoring Tool (JPAST) Project	JMIR Mhealth Uhealth	Outcomes of patients with inflammatory rheumatic diseases have significantly improved over the last three decades, mainly due to therapeutic innovations, more timely treatment, and a recognition of the need to monitor response to treatment and to titrate treatments accordingly. Diagnostic delay remains a major challenge for all stakeholders. The combination of electronic health (eHealth) and serologic and genetic markers holds great promise to improve the current management of patients with inflammatory rheumatic diseases by speeding up access to appropriate care. The Joint Pain Assessment Scoring Tool (JPAST) project, funded by the European Union (EU) European Institute of Innovation and Technology (EIT) Health program, is a unique European project aiming to enable and accelerate personalized precision medicine for early treatment in rheumatology, ultimately also enabling prevention. The aim of the project is to facilitate these goals while at the same time, reducing cost for society and patients.	Knitza J, Knevel R, Raza K, Bruce T, Eimer E, Gehring I, Mathsson-Alm L, Poorafshar M, Hueber AJ, Schett G, Johannesson M, Catrina A, Klareskog L; JPAST Group. (2020) &quot;Toward Earlier Diagnosis Using Combined eHealth Tools in Rheumatology: The Joint Pain Assessment Scoring Tool (JPAST) Project&quot; <i>JMIR Mhealth Uhealth. 2020 May 15;8(5):e17507. doi: 10.2196/17507.</i>	toward-earlier-diagnosis-using-combined-ehealth-tools-in-rheumatology-the-joint-pain-assessment-scoring-tool-jpast-project	https://doi.org/10.2196/17507
2020 Nov 30	Machine Learning Electronic Health Record Identification of Patients with Rheumatoid Arthritis: Algorithm Pipeline Development and Validation Study	JMIR Med Inform	Financial codes are often used to extract diagnoses from electronic health records. This approach is prone to false positives. Alternatively, queries are constructed, but these are highly center and language specific. A tantalizing alternative is the automatic identification of patients by employing machine learning on format-free text entries.OBJECTIVE: The aim of this study was to develop an easily implementable workflow that builds a machine learning algorithm capable of accurately identifying patients with rheumatoid arthritis from format-free text fields in electronic health records.	Maarseveen TD, Meinderink T, Reinders MJT, Knitza J, Huizinga TWJ, Kleyer A, Simon D, van den Akker EB, Knevel R. (2020) &quot;Machine Learning Electronic Health Record Identification of Patients with Rheumatoid Arthritis: Algorithm Pipeline Development and Validation Study&quot; <i>JMIR Med Inform. 2020 Nov 30;8(11):e23930. doi: 10.2196/23930.</i>	machine-learning-electronic-health-record-identification-of-patients-with-rheumatoid-arthritis-algorithm-pipeline-development-and-validation-study	https://doi.org/10.2196/23930
2020-11	Interactions Between Genome-Wide Genetic Factors and Smoking Influencing Risk of Systemic Lupus Erythematosus	Arthritis Rheumatol	To identify interactions between genetic factors and current or recent smoking in relation to risk of developing systemic lupus erythematosus (SLE).	Cui J, Raychaudhuri S, Karlson EW, Speyer C, Malspeis S, Guan H, Sparks JA, Ni H, Liu X, Stevens E, Williams JN, Davenport EE, Knevel R, Costenbader KH. (2020) &quot;Interactions Between Genome-Wide Genetic Factors and Smoking Influencing Risk of Systemic Lupus Erythematosus&quot; <i>Arthritis Rheumatol. 2020 Nov;72(11):1863-1871. doi: 10.1002/art.41414. Epub 2020 Sep 23.</i>	interactions-between-genome-wide-genetic-factors-and-smoking-influencing-risk-of-systemic-lupus-erythematosus	https://doi.org/10.1002/art.41414
2020-11	Interpreting big-data analysis of retrospective observational data	Lancet Rheumatol	DOI: 10.1016/S2665-9913(20)30289-7PMCID: PMC7442429PMID: 32864629	Huizinga TWJ, Knevel R. (2020) &quot;Interpreting big-data analysis of retrospective observational data&quot; <i>Lancet Rheumatol. 2020 Nov;2(11):e652-e653. doi: 10.1016/S2665-9913(20)30289-7. Epub 2020 Aug 21.</i>	interpreting-big-data-analysis-of-retrospective-observational-data	https://doi.org/10.1016/S2665-9913(20)30289-7
2021 Jun 22	Handwork vs machine: a comparison of rheumatoid arthritis patient populations as identified from EHR free-text by diagnosis extraction through machine-learning or traditional criteria-based chart review	Arthritis Res Ther	Electronic health records (EHRs) offer a wealth of observational data. Machine-learning (ML) methods are efficient at data extraction, capable of processing the information-rich free-text physician notes in EHRs. The clinical diagnosis contained therein represents physician expert opinion and is more consistently recorded than classification criteria components.OBJECTIVES: To investigate the overlap and differences between rheumatoid arthritis patients as identified either from EHR free-text through the extraction of the rheumatologist diagnosis using machine-learning (ML) or through manual chart-review applying the 1987 and 2010 RA classification criteria.	Maarseveen TD, Maurits MP, Niemantsverdriet E, van der Helm-van Mil AHM, Huizinga TWJ, Knevel R. (2021) &quot;Handwork vs machine: a comparison of rheumatoid arthritis patient populations as identified from EHR free-text by diagnosis extraction through machine-learning or traditional criteria-based chart review&quot; <i>Arthritis Res Ther. 2021 Jun 22;23(1):174. doi: 10.1186/s13075-021-02553-4.</i>	handwork-vs-machine-a-comparison-of-rheumatoid-arthritis-patient-populations-as-identified-from-ehr-free-text-by-diagnosis-extraction-through-machine-learning-or-traditional-criteria-based-chart-review	https://doi.org/10.1186/s13075-021-02553-4
2021-06	HLA-B*08 Identified as the Most Prominently Associated Major Histocompatibility Complex Locus for Anti-Carbamylated Protein Antibody-Positive/Anti-Cyclic Citrullinated Peptide-Negative Rheumatoid Arthritis	Arthritis Rheumatol	Previously, only the HLA-DRB1 alleles have been assessed in rheumatoid arthritis (RA). The aim of the present study was to identify the key major histocompatibility complex (MHC) susceptibility factors showing a significant association with anti-carbamylated protein antibody-positive (anti-CarP+) RA.	Regueiro C, Casares-Marfil D, Lundberg K, Knevel R, Acosta-Herrera M, Rodriguez-Rodriguez L, Lopez-Mejias R, Perez-Pampin E, Triguero-Martinez A, Nu&ntilde;o L, Ferraz-Amaro I, Rodriguez-Carrio J, Lopez-Pedrera R, Robustillo-Villarino M, Casta&ntilde;eda S, Remuzgo-Martinez S, Alperi M, Alegre-Sancho JJ, Balsa A, Gonzalez-Alvaro I, Mera A, Fernandez-Gutierrez B, Gonzalez-Gay MA, Trouw LA, Gr&ouml;nwall C, Padyukov L, Martin J, Gonzalez A. (2021) &quot;HLA-B*08 Identified as the Most Prominently Associated Major Histocompatibility Complex Locus for Anti-Carbamylated Protein Antibody-Positive/Anti-Cyclic Citrullinated Peptide-Negative Rheumatoid Arthritis&quot; <i>Arthritis Rheumatol. 2021 Jun;73(6):963-969. doi: 10.1002/art.41630. Epub 2021 Apr 23.</i>	hla-b-08-identified-as-the-most-prominently-associated-major-histocompatibility-complex-locus-for-anti-carbamylated-protein-antibody-positive-anti-cyclic-citrullinated-peptide-negative-rheumatoid-arthritis	https://doi.org/10.1002/art.41630
2021 Mar 2	Disease progression in systemic sclerosis	Rheumatology (Oxford)	DOI: 10.1093/rheumatology/keaa911PMCID: PMC7937017PMID: 33404661 [Indexed for MEDLINE]	van Leeuwen NM, Liem SIE, Maurits MP, Ninaber M, Marsan NA, Allaart CF, Huizinga TWJ, Knevel R, de Vries-Bouwstra JK. (2021) &quot;Disease progression in systemic sclerosis&quot; <i>Rheumatology (Oxford). 2021 Mar 2;60(3):1565-1567. doi: 10.1093/rheumatology/keaa911.</i>	disease-progression-in-systemic-sclerosis	https://doi.org/10.1093/rheumatology/keaa911
